,0
0,9732.514572100485
1,8070.7863027625135
2,6550.339336379982
3,8316.221667423823
4,7102.321819197445
5,8318.706802625617
6,18051.995632619757
7,22719.2338440101
8,9236.785541081295
9,15197.728901943892
10,6068.148102691222
11,5489.0141710099815
12,5398.484215329678
13,7102.266421533714
14,7756.271520203474
15,12849.587496367953
16,16732.30401865855
17,19023.951534550746
18,20642.62393904495
19,12042.059733743945
20,16075.288851904956
21,21572.631286796928
22,14201.235493269996
23,16074.609851766261
24,12569.011573901873
25,8993.26418369115
26,8979.007304573855
27,8186.673380514214
28,14894.99271615405
29,17652.148226853984
30,13785.418500844593
31,19866.42690553036
32,7424.607803803126
33,13155.10517495235
34,4281.843187487135
35,11577.243398777804
36,19716.473455927706
37,7293.803006360271
38,10139.566015060278
39,9353.69749795842
40,16109.3543891005
41,2316.379085968505
